Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,futures_price
BANKNIFTY,01-Dec-17,28-Dec-17,CE,25000,690,717.8,530,551.2,551,551.2,1870,19150.99,450.99,95520,16760,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,25100,600,618.25,470,495.7,546.05,495.7,243,2492.82,53.1,6880,6880,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,25200,544.55,566.6,418,437.2,434.8,437.2,467,4796.05,88.69,7800,7680,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,25300,500,518.4,362.8,377.05,382.9,377.05,1139,11723.32,196.64,11160,10080,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,25400,427,454.8,311.55,326.95,325.6,326.95,1717,17713.12,268.4,17520,11880,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,25500,389.35,400.1,267,283.15,283.3,283.15,12571,129930.9,1706.7,287240,36640,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,25600,499.1,499.1,228.4,239.95,239.25,239.95,1841,19066.61,214.77,19400,5720,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,25700,284.35,295.7,190,201.45,201.95,201.45,2166,22472.85,206.37,31320,23040,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,25800,249.85,256.5,159.15,169.4,171.3,169.4,2438,25362.08,201.92,109000,3640,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,25900,210.65,212.5,131.2,139.75,139.65,139.75,1316,13723.92,90.16,13160,800,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,26000,178.05,179,105,112.85,113,112.85,19501,203936.71,1126.31,775400,-7680,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,26100,135.05,143.8,86.55,93.65,93.75,93.65,659,6911.43,31.47,14760,11400,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,26200,111.6,120.8,70,74.9,82.55,74.9,1288,13547.69,49.45,28720,10600,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,26300,105.45,105.45,57,61.35,61.25,61.35,777,8198.95,24.91,10920,8840,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,26400,74.55,80,46.75,48.7,48.6,48.7,968,10247.78,25.7,10320,6680,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,26500,69.15,69.15,34.15,36.45,36.65,36.45,20399,216637.64,408.24,547160,89760,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,26600,51.45,53.95,29.7,31.4,31.9,31.4,199,2121.09,3.73,4000,2120,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,26700,44,44,25.65,26.6,27.1,26.6,195,2085.69,3.09,3080,1240,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,26800,34.95,37.65,20.8,21.1,21.4,21.1,261,2800.94,3.02,11520,-720,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,26900,26.85,30.45,15.7,15.7,15.7,15.7,75,807.71,0.71,7840,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,27000,29,29,15,16.55,17.2,16.55,13063,141184.74,104.34,340480,-136680,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,27100,23.45,23.45,19,19,19,19,6,65.09,0.05,240,120,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,27200,22.5,22.5,10.95,13.1,14.05,13.1,204,2220.79,1.27,10560,1120,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,27300,19,19,9,10.5,10.5,10.5,75,819.38,0.38,3720,-1680,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,27400,19,19,8.95,9.45,10,9.45,54,592.11,0.27,7640,-120,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,CE,22500,2900,2900,2715,2718.6,2715,2718.6,21,212.85,23.85,52280,360,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,PE,22400,5.75,10.55,5.75,10.2,8.65,10.2,218,1953.95,0.67,52440,-120,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,PE,27500,2033.1,2253.15,2017.05,2226.6,2200,2226.6,35,414.53,29.53,7680,960,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,PE,22600,0,0,0,152.95,0,1.1,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,PE,22700,0,0,0,170.6,0,1.55,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,PE,22800,0,0,0,189.75,0,2.15,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,PE,22900,0,0,0,210.45,0,2.95,0,0,0,0,0,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,PE,23000,17,25,13.5,22.7,23,22.7,1345,12384.96,10.96,69520,27920,25259.65
BANKNIFTY,01-Dec-17,28-Dec-17,PE,23100,17,25.5,12,23,23,23,92,850.82,0.74,2960,2800,25259.65
